日期,中证500
2020-12-16,6235.44
2020-12-15,6265.58
2020-12-14,6259.02
2020-12-11,6209.43
2020-12-10,6320.1
2020-12-09,6307.22
2020-12-08,6423.65
2020-12-07,6424.68
2020-12-04,6464.73
2020-12-03,6440.88
2020-12-02,6434.98
2020-12-01,6426.62
2020-11-30,6320.94
2020-11-27,6351.61
2020-11-26,6334.3
2020-11-25,6350.37
2020-11-24,6475.19
2020-11-23,6472.93
2020-11-20,6422.99
2020-11-19,6360.6
2020-11-18,6341.01
2020-11-17,6336.94
2020-11-16,6387.37
2020-11-13,6306.97
2020-11-12,6315.49
2020-11-11,6294.61
2020-11-10,6373.09
2020-11-09,6421.65
2020-11-06,6301.25
2020-11-05,6351.98
2020-11-04,6234.16
2020-11-03,6241.77
2020-11-02,6143.12
2020-10-30,6111.48
2020-10-29,6255.19
2020-10-28,6246.0
2020-10-27,6221.34
2020-10-26,6214.38
2020-10-23,6213.26
2020-10-22,6317.14
2020-10-21,6350.01
2020-10-20,6423.11
2020-10-19,6358.32
2020-10-16,6428.68
2020-10-15,6460.04
2020-10-14,6508.37
2020-10-13,6551.4
2020-10-12,6541.18
2020-10-09,6357.97
2020-12-17,6308.9
2020-12-18,6291.92
2020-12-21,6398.6
2020-12-22,6250.06
2020-12-23,6307.6
2020-12-25,6278.5
2020-12-24,6205.22
2020-12-28,6244.48
2020-12-29,6199.85
2020-12-30,6269.25
2020-12-31,6367.11
2021-01-04,6482.79
2021-01-05,6539.73
2021-01-06,6528.14
2021-01-07,6538.12
2021-01-08,6557.6
2021-01-11,6455.4
2021-01-12,6543.23
2021-01-13,6496.91
2021-01-15,6417.5
2021-01-14,6439.89
2021-01-18,6514.46
2021-01-19,6476.37
2021-01-20,6535.42
2021-01-21,6622.5
2021-01-22,6637.81
2021-01-25,6645.31
2021-01-26,6532.96
2021-01-27,6557.16
2021-01-28,6414.38
