日期,融资余额,融资买入额,融资偿还额,融资净买入,融券余量,融券卖出量,融券偿还量,融券净卖出,融资融券余额
2021-01-26,179.74亿,6.80亿,5.45亿,1.35亿,161.39,3.81,1.28,2.53,214.31亿
2021-01-25,178.39亿,11.24亿,11.15亿,935.58万,158.86,2.57,10.9,-8.33,212.95亿
2021-01-22,178.42亿,6.33亿,10.02亿,-3.69亿,167.19,2.13,1.49,0.64,213.19亿
2021-01-21,182.12亿,6.56亿,8.20亿,-1.64亿,166.56,0.56,1.1,-0.54,216.60亿
2021-01-20,183.76亿,10.58亿,10.56亿,130.33万,167.1,3.15,2.22,0.93,217.86亿
2021-01-19,183.75亿,14.44亿,12.07亿,2.37亿,166.16,1.95,3.85,-1.9,217.14亿
2021-01-18,181.38亿,10.01亿,8.90亿,1.10亿,168.06,2.99,4.66,-1.67,216.05亿
2021-01-15,180.27亿,15.36亿,15.85亿,-4889.23万,169.73,3.62,2.37,1.25,215.61亿
2021-01-14,180.76亿,8.60亿,10.86亿,-2.26亿,168.49,0.63,3.78,-3.15,216.72亿
2021-01-13,182.96亿,8.44亿,8.30亿,1375.62万,171.64,1.3,4.85,-3.55,220.11亿
2021-01-12,182.83亿,13.70亿,8.34亿,5.36亿,175.19,4.65,6.0,-1.35,220.68亿
2021-01-11,177.47亿,13.72亿,11.84亿,1.88亿,176.54,2.89,2.25,0.64,214.54亿
2021-01-08,175.61亿,16.74亿,14.89亿,1.85亿,175.89,8.85,4.07,4.77,212.37亿
2021-01-07,173.76亿,9.28亿,8.22亿,1.06亿,171.12,8.78,7.84,0.94,210.38亿
2021-01-06,172.58亿,11.31亿,11.97亿,-6566.64万,168.82,2.04,2.82,-0.78,208.03亿
2021-01-05,173.23亿,13.03亿,13.95亿,-9177.38万,169.6,4.83,14.66,-9.83,208.16亿
2021-01-04,173.94亿,11.12亿,9.16亿,1.96亿,179.43,0.89,6.11,-5.22,209.78亿
2020-12-31,171.99亿,8.79亿,11.13亿,-2.33亿,184.66,11.27,3.18,8.09,208.88亿
2020-12-30,174.32亿,12.31亿,9.75亿,2.56亿,176.56,5.86,8.71,-2.85,208.45亿
2020-12-29,171.77亿,3.83亿,3.69亿,1417.09万,179.42,7.31,2.9,4.41,205.27亿
2020-12-28,171.63亿,6.75亿,8.13亿,-1.38亿,175.01,3.41,0.79,2.62,204.41亿
2020-12-25,173.01亿,4.27亿,6.90亿,-2.62亿,172.39,2.32,3.27,-0.95,204.56亿
2020-12-24,175.64亿,8.39亿,9.43亿,-1.04亿,173.34,4.97,3.52,1.45,207.36亿
2020-12-23,176.68亿,11.85亿,13.04亿,-1.20亿,171.9,1.67,2.81,-1.14,208.33亿
2020-12-22,177.87亿,10.64亿,10.74亿,-1009.75万,173.04,3.13,2.44,0.69,210.42亿
2020-12-21,177.98亿,5.38亿,7.62亿,-2.24亿,172.35,4.86,1.51,3.35,209.73亿
2020-12-18,180.21亿,5.10亿,6.13亿,-1.04亿,169.0,2.81,3.22,-0.41,211.39亿
