日期,融资余额,融资买入额,融资偿还额,融资净买入,融券余量,融券卖出量,融券偿还量,融券净卖出,融资融券余额
2021-01-26,285.22亿,14.51亿,15.05亿,-5424.09万,3401.65,226.0,73.49,152.52,313.45亿
2021-01-25,285.76亿,17.28亿,11.83亿,5.44亿,3249.13,92.02,78.77,13.25,313.34亿
2021-01-22,280.32亿,16.35亿,13.81亿,2.54亿,3235.89,110.75,88.57,22.17,307.44亿
2021-01-21,277.68亿,19.59亿,14.95亿,4.64亿,3207.95,75.19,25.17,50.02,304.77亿
2021-01-20,273.04亿,23.15亿,14.32亿,8.83亿,3157.93,122.64,21.91,100.73,299.95亿
2021-01-19,264.21亿,21.78亿,15.61亿,6.18亿,3057.2,66.93,40.92,26.01,290.75亿
2021-01-18,258.03亿,19.53亿,17.34亿,2.19亿,3031.2,51.19,208.35,-157.16,284.46亿
2021-01-15,255.84亿,23.98亿,23.22亿,7588.15万,3188.35,59.82,103.16,-43.34,283.55亿
2021-01-14,255.08亿,20.99亿,12.87亿,8.12亿,3231.69,91.07,56.59,34.48,282.64亿
2021-01-13,246.69亿,18.66亿,16.71亿,1.94亿,3197.21,31.73,72.18,-40.45,274.67亿
2021-01-12,244.74亿,21.55亿,17.55亿,4.01亿,3237.67,87.44,101.68,-14.24,273.18亿
2021-01-11,240.73亿,16.74亿,10.94亿,5.80亿,3251.9,105.87,55.8,50.07,268.06亿
2021-01-08,234.99亿,13.42亿,9.79亿,3.62亿,3201.83,210.77,138.96,71.81,262.56亿
2021-01-07,231.37亿,12.65亿,10.83亿,1.83亿,3130.02,173.32,96.25,77.07,258.36亿
2021-01-06,229.62亿,10.84亿,8.92亿,1.92亿,3052.95,63.81,18.95,44.86,255.80亿
2021-01-05,227.70亿,12.86亿,9.55亿,3.31亿,3008.09,33.45,197.29,-163.84,253.05亿
2021-01-04,224.09亿,13.11亿,7.56亿,5.56亿,3171.92,38.47,308.86,-270.39,251.11亿
2020-12-31,218.53亿,9.81亿,9.70亿,1070.68万,3442.31,225.66,98.0,127.65,248.47亿
2020-12-30,218.43亿,4.97亿,5.29亿,-3196.73万,3314.66,205.71,22.74,182.97,246.89亿
2020-12-29,218.74亿,7.02亿,11.51亿,-4.48亿,3131.69,223.91,32.97,190.94,245.51亿
2020-12-28,223.22亿,8.65亿,6.24亿,2.40亿,2940.76,35.16,17.38,17.78,248.11亿
2020-12-25,220.82亿,10.68亿,6.64亿,4.03亿,2922.97,8.73,150.11,-141.38,245.14亿
2020-12-24,216.78亿,7.15亿,4.71亿,2.44亿,3064.36,153.77,15.71,138.06,242.59亿
2020-12-23,214.34亿,5.79亿,5.92亿,-1277.04万,2926.3,38.74,23.93,14.81,239.17亿
2020-12-22,214.47亿,13.13亿,9.25亿,3.88亿,2911.49,37.41,24.29,13.12,238.97亿
2020-12-21,210.59亿,8.13亿,7.67亿,4652.78万,2898.37,26.21,28.06,-1.86,235.82亿
2020-12-18,210.12亿,5.63亿,5.59亿,448.94万,2900.22,90.73,51.22,39.51,235.58亿
2020-12-17,210.08亿,6.18亿,9.37亿,-3.19亿,2860.71,84.52,70.93,13.59,235.53亿
2020-12-16,213.26亿,6.32亿,4.74亿,1.58亿,2847.12,42.61,20.08,22.53,237.99亿
2020-12-15,211.68亿,8.20亿,6.04亿,2.17亿,2824.59,51.61,20.24,31.37,236.06亿
2020-12-14,209.52亿,4.06亿,6.66亿,-2.60亿,2793.22,13.96,43.59,-29.63,234.01亿
2020-12-11,212.12亿,8.47亿,6.82亿,1.65亿,2822.85,34.89,60.43,-25.54,236.43亿
2020-12-10,210.47亿,4.79亿,5.37亿,-5831.66万,2848.39,62.08,37.24,24.84,235.45亿
2020-12-09,211.06亿,5.50亿,6.61亿,-1.11亿,2823.55,31.89,100.65,-68.76,235.87亿
2020-12-08,212.17亿,13.58亿,7.70亿,5.88亿,2892.31,127.29,44.52,82.77,237.63亿
2020-12-07,206.28亿,10.43亿,6.26亿,4.18亿,2809.54,11.11,29.32,-18.21,231.67亿
2020-12-04,202.10亿,7.13亿,7.27亿,-1446.12万,2827.75,39.8,45.65,-5.85,228.17亿
2020-12-03,202.25亿,6.25亿,7.09亿,-8340.03万,2833.6,61.23,56.81,4.42,228.28亿
2020-12-02,203.19亿,6.01亿,6.23亿,-2270.71万,2829.18,33.77,66.8,-33.03,229.46亿
2020-12-01,203.42亿,12.03亿,9.73亿,2.30亿,2862.21,48.06,25.74,22.32,230.15亿
2020-11-30,201.12亿,18.84亿,16.60亿,2.24亿,2839.89,64.34,56.6,7.74,226.69亿
